CIE_Escola,Ambiente,Item,Quantidade
306526,Salas de Aula,Sala de Aula,4
306526,Outras salas,Sala de Atividades,1
306526,Cozinha,Cozinha,1
306526,Cozinha,Despensa,1
306526,Cozinha,Refeitório,1
306526,Banheiros,Banheiro Adequado,1
306526,Banheiros,Banheiro Aluno,2
306526,Outros,Dependência Administrativa,3
306526,Conectividade,Rede Local A Cabo,1
434000,Salas de Aula,Sala de Aula,7
434000,Outras salas,Sala de Atividades,1
434000,Cozinha,Cozinha,3
434000,Cozinha,Despensa,1
434000,Cozinha,Refeitório,1
434000,Banheiros,Banheiro Adequado,1
434000,Banheiros,Banheiro Aluno,1
434000,Banheiros,Banheiro Funcionários,1
434000,Outros,Dependência Administrativa,3
434000,Conectividade,Banda Larga - 16 Mbps,1
434000,Conectividade,Oferece Internet,1
421868,Salas de Aula,Sala de Aula,4
421868,Cozinha,Cozinha,1
421868,Cozinha,Despensa,1
421868,Cozinha,Refeitório,1
421868,Banheiros,Banheiro Aluno,3
421868,Outros,Dependência Administrativa,1
421868,Outros,Espaço Livre,1
421868,Conectividade,Banda Larga - 16 Mbps,1
421868,Conectividade,Oferece Internet,1
421868,Conectividade,Rede Local A Cabo,1
421868,Conectividade,Rede Local A Wireless,1
477783,Salas de Aula,Sala de Aula,2
477783,Cozinha,Cozinha,1
100201,Salas de Aula,Sala de Aula,5
100201,Cozinha,Cozinha,1
100201,Cozinha,Despensa,1
100201,Banheiros,Banheiro Aluno,3
100201,Outros,Dependência Administrativa,3
100201,Outros,Espaço Livre,1
100201,Conectividade,Banda Larga - 100 Mbps,1
100201,Conectividade,Oferece Internet,1
100201,Conectividade,Rede Local A Cabo,1
100389,Salas de Aula,Sala de Aula,2
100389,Cozinha,Cozinha,1
100389,Banheiros,Banheiro Aluno,2
100249,Salas de Aula,Sala de Aula,5
100249,Cozinha,Cozinha,1
100249,Cozinha,Despensa,1
100249,Cozinha,Refeitório,1
100249,Banheiros,Banheiro Aluno,2
100249,Banheiros,Banheiro Funcionários,1
100249,Outros,Dependência Administrativa,1
469786,Salas de Aula,Sala de Aula,15
469786,Cozinha,Cozinha,4
469786,Cozinha,Despensa,1
469786,Banheiros,Banheiro Aluno,6
469786,Banheiros,Vestiário Aluno,1
100341,Salas de Aula,Sala de Aula,4
100341,Outras salas,Sala de Atividades,3
100341,Cozinha,Cozinha,1
100341,Cozinha,Despensa,1
100341,Cozinha,Refeitório,1
100341,Banheiros,Banheiro Aluno,5
100341,Outros,Dependência Administrativa,5
100341,Conectividade,Banda Larga - 2 Mbps,1
100341,Conectividade,Oferece Internet,1
469774,Salas de Aula,Sala de Aula,6
469774,Cozinha,Cozinha,3
469774,Banheiros,Banheiro Aluno,2
568430,Salas de Aula,Sala de Aula,2
568430,Banheiros,Banheiro Aluno,2
8803,Salas de Aula,Sala de Aula,3
8803,Cozinha,Refeitório,1
8803,Banheiros,Banheiro Aluno,1
100407,Salas de Aula,Sala de Aula,2
100407,Cozinha,Cozinha,1
100110,Salas de Aula,Sala de Aula,6
100110,Cozinha,Cozinha,1
100110,Banheiros,Banheiro Aluno,2
100110,Banheiros,Banheiro Funcionários,1
100110,Outros,Dependência Administrativa,3
100110,Outros,Espaço Livre,1
100110,Conectividade,Rede Local A Cabo,1
100110,Conectividade,Rede Local A Wireless,1
495219,Salas de Aula,Sala de Aula,2
495219,Banheiros,Banheiro Aluno,2
495219,Outros,Espaço Livre,1
417439,Salas de Aula,Sala de Aula,7
417439,Laboratório,Laboratório de Informática,1
417439,Cozinha,Cozinha,1
417439,Cozinha,Despensa,2
417439,Banheiros,Banheiro Aluno,2
417439,Outros,Espaço Livre,1
417439,Outros,Sala Para Docência,1
417439,Conectividade,Banda Larga - 100 Mbps,1
417439,Conectividade,Oferece Internet,1
482419,Salas de Aula,Sala de Aula,2
482419,Cozinha,Cozinha,1
482419,Cozinha,Refeitório,1
482419,Banheiros,Banheiro Aluno,2
482419,Conectividade,Oferece Internet,1
482419,Conectividade,Rede Local A Wireless,1
127152,Salas de Aula,Sala de Aula,7
127152,Cozinha,Cozinha,1
127152,Cozinha,Despensa,1
127152,Cozinha,Refeitório,1
127152,Banheiros,Banheiro Aluno,3
127152,Outros,Dependência Administrativa,3
127152,Conectividade,Banda Larga - 100 Mbps,1
127152,Conectividade,Oferece Internet,1
127152,Conectividade,Rede Local A Cabo,1
127152,Conectividade,Rede Local A Wireless,1
343316,Salas de Aula,Sala de Aula,3
343316,Outras salas,Sala de Atividades,1
343316,Cozinha,Cozinha,1
343316,Banheiros,Banheiro Aluno,1
343316,Conectividade,Rede Local A Cabo,1
559118,Salas de Aula,Sala de Aula,16
559118,Cozinha,Cozinha,4
559118,Cozinha,Despensa,1
559118,Banheiros,Banheiro Aluno,9
559118,Banheiros,Banheiro Funcionários,1
559118,Outros,Dependência Administrativa,2
559118,Outros,Espaço Livre,1
559097,Salas de Aula,Sala de Aula,7
559097,Cozinha,Cozinha,1
559097,Cozinha,Despensa,1
559097,Banheiros,Banheiro Aluno,4
559097,Banheiros,Banheiro Funcionários,1
559097,Outros,Dependência Administrativa,1
559097,Outros,Espaço Livre,1
559097,Conectividade,Banda Larga - 100 Mbps,1
559097,Conectividade,Oferece Internet,1
559097,Conectividade,Rede Local A Cabo,1
559097,Conectividade,Rede Local A Wireless,1
469798,Salas de Aula,Sala de Aula,3
469798,Banheiros,Banheiro Aluno,2
395365,Salas de Aula,Sala de Aula,6
395365,Cozinha,Cozinha,1
395365,Cozinha,Despensa,1
395365,Banheiros,Banheiro Aluno,6
395365,Banheiros,Banheiro Funcionários,1
395365,Outros,Dependência Administrativa,2
395365,Outros,Espaço Livre,1
395365,Conectividade,Banda Larga - 100 Mbps,1
395365,Conectividade,Oferece Internet,1
395365,Conectividade,Rede Local A Cabo,1
395365,Conectividade,Rede Local A Wireless,1
566044,Salas de Aula,Sala de Aula,3
566044,Cozinha,Cozinha,1
566044,Cozinha,Refeitório,1
566044,Banheiros,Banheiro Aluno,2
566044,Conectividade,Banda Larga - 2 Mbps,1
566044,Conectividade,Oferece Internet,1
559210,Salas de Aula,Sala de Aula,7
559210,Cozinha,Cozinha,1
559210,Cozinha,Refeitório,1
559210,Banheiros,Banheiro Aluno,1
559210,Conectividade,Banda Larga - 100 Mbps,1
559210,Conectividade,Oferece Internet,1
559210,Conectividade,Rede Local A Cabo,1
559210,Conectividade,Rede Local A Wireless,1
127164,Salas de Aula,Sala de Aula,3
127164,Cozinha,Cozinha,1
127164,Cozinha,Despensa,1
127164,Cozinha,Refeitório,1
127164,Banheiros,Banheiro Adequado,1
127164,Banheiros,Banheiro Aluno,1
127164,Banheiros,Vestiário Aluno,1
127164,Outros,Dependência Administrativa,3
127164,Conectividade,Banda Larga - 16 Mbps,1
127164,Conectividade,Oferece Internet,1
127164,Conectividade,Rede Local A Cabo,1
100262,Salas de Aula,Sala de Aula,3
100262,Cozinha,Cozinha,1
100262,Banheiros,Banheiro Aluno,1
268574,Salas de Aula,Sala de Aula,11
268574,Outras salas,Sala de Atividades,1
268574,Outras salas,Sala de Leitura,1
268574,Cozinha,Cozinha,2
268574,Cozinha,Despensa,1
268574,Cozinha,Refeitório,1
268574,Banheiros,Banheiro Adequado,1
268574,Banheiros,Banheiro Aluno,3
268574,Outros,Dependência Administrativa,2
268574,Conectividade,Banda Larga - 100 Mbps,1
268574,Conectividade,Oferece Internet,1
268574,Conectividade,Rede Local A Cabo,1
559076,Salas de Aula,Sala de Aula,6
559076,Banheiros,Banheiro Aluno,2
499523,Salas de Aula,Sala de Aula,5
499523,Cozinha,Cozinha,1
499523,Banheiros,Banheiro Aluno,2
499523,Outros,Espaço Livre,1
559106,Salas de Aula,Sala de Aula,13
559106,Cozinha,Cozinha,3
559106,Cozinha,Despensa,1
559106,Banheiros,Banheiro Aluno,4
559106,Banheiros,Banheiro Funcionários,3
559106,Outros,Dependência Administrativa,1
559106,Outros,Espaço Livre,1
559106,Conectividade,Banda Larga - 2 Mbps,1
559106,Conectividade,Oferece Internet,1
194906,Salas de Aula,Sala de Aula,3
194906,Cozinha,Cozinha,1
194906,Cozinha,Despensa,1
194906,Cozinha,Refeitório,1
194906,Banheiros,Banheiro Adequado,1
194906,Banheiros,Banheiro Aluno,2
194906,Outros,Dependência Administrativa,3
194906,Conectividade,Banda Larga - 2 Mbps,1
194906,Conectividade,Oferece Internet,1
194906,Conectividade,Rede Local A Cabo,1
127176,Salas de Aula,Sala de Aula,3
127176,Cozinha,Cozinha,1
127176,Cozinha,Despensa,1
127176,Cozinha,Refeitório,1
127176,Banheiros,Banheiro Adequado,1
127176,Banheiros,Banheiro Aluno,2
127176,Outros,Dependência Administrativa,3
127176,Conectividade,Banda Larga - 2 Mbps,1
127176,Conectividade,Oferece Internet,1
127176,Conectividade,Rede Local A Wireless,1
534924,Salas de Aula,Sala de Aula,2
534924,Cozinha,Cozinha,1
534924,Cozinha,Despensa,1
534924,Banheiros,Banheiro Aluno,2
534924,Banheiros,Banheiro Funcionários,1
534924,Outros,Dependência Administrativa,1
534924,Outros,Espaço Livre,1
534924,Conectividade,Banda Larga - 2 Mbps,1
534924,Conectividade,Oferece Internet,1
534924,Conectividade,Rede Local A Cabo,1
534924,Conectividade,Rede Local A Wireless,1
100948,Salas de Aula,Sala de Aula,11
100948,Cozinha,Cozinha,4
100948,Cozinha,Despensa,1
100948,Banheiros,Banheiro Aluno,4
100948,Banheiros,Banheiro Funcionários,1
100948,Banheiros,Vestiário Aluno,1
100948,Outros,Espaço Livre,1
100948,Conectividade,Banda Larga - 2 Mbps,1
100948,Conectividade,Oferece Internet,1
100948,Conectividade,Rede Local A Wireless,1
100195,Salas de Aula,Sala de Aula,5
100195,Cozinha,Cozinha,1
100195,Banheiros,Banheiro Aluno,2
100195,Outros,Espaço Livre,1
100195,Conectividade,Banda Larga - 100 Mbps,1
100195,Conectividade,Oferece Internet,1
100146,Salas de Aula,Sala de Aula,5
100146,Outras salas,Sala de Atividades,1
100146,Cozinha,Cozinha,1
100146,Cozinha,Despensa,1
100146,Cozinha,Refeitório,1
100146,Banheiros,Banheiro Aluno,2
100146,Banheiros,Banheiro Funcionários,1
100146,Outros,Dependência Administrativa,1
100146,Conectividade,Banda Larga - 100 Mbps,1
100146,Conectividade,Oferece Internet,1
100146,Conectividade,Rede Local A Cabo,1
559088,Salas de Aula,Sala de Aula,4
559088,Outras salas,Sala de Atividades,1
559088,Cozinha,Cozinha,1
559088,Cozinha,Despensa,1
559088,Banheiros,Banheiro Aluno,2
559088,Outros,Dependência Administrativa,1
559088,Outros,Espaço Livre,1
559088,Outros,Sala Para Docência,1
559088,Conectividade,Banda Larga - 2 Mbps,1
559088,Conectividade,Oferece Internet,1
925135,Salas de Aula,Sala de Aula,10
925135,Laboratório,Laboratório de Informática,1
925135,Cozinha,Cozinha,1
925135,Cozinha,Refeitório,1
925135,Banheiros,Banheiro Aluno,2
925135,Banheiros,Banheiro Funcionários,2
925135,Outros,Dependência Administrativa,1
925135,Conectividade,Banda Larga - 100 Mbps,1
925135,Conectividade,Oferece Internet,1
925135,Conectividade,Rede Local A Cabo,1
925135,Conectividade,Rede Local A Wireless,1
7734,Salas de Aula,Sala de Aula,9
103100,Salas de Aula,Sala de Aula,7
103100,Cozinha,Cozinha,1
103100,Cozinha,Despensa,1
103100,Cozinha,Refeitório,1
103100,Banheiros,Banheiro Aluno,2
103100,Outros,Dependência Administrativa,2
103100,Conectividade,Oferece Internet,1
